timestamp,funding_rate,open_interest,open_interest_value,global_long_short_ratio,global_long_account,global_short_account,taker_buy_sell_ratio,taker_buy_vol,taker_sell_vol,fundamental_source_age_hours
2026-07-23 15:00:00,2.71e-06,103710.048,6729483979.535738,1.4661,0.5945,0.4055,0.6893,2100.624,3047.503,0.0
2026-07-23 15:15:00,2.71e-06,104117.866,6742111612.961475,1.4679,0.5948,0.4052,1.8671,1477.546,791.365,0.0
2026-07-23 15:30:00,2.71e-06,104181.882,6755569956.408,1.4894,0.5983,0.4017,1.112,754.3,678.314,0.0
2026-07-23 15:45:00,2.71e-06,104404.648,6773720662.371841,1.5031,0.6005,0.3995,1.5528,785.631,505.949,0.0
2026-07-23 16:00:00,8.458e-05,104518.087,6786704907.528881,1.5126,0.602,0.398,0.881,632.23,717.588,0.0
2026-07-23 16:15:00,8.458e-05,104518.828,6778516330.526,1.5151,0.6024,0.3976,0.77,468.18,608.04,0.0
2026-07-23 16:30:00,8.458e-05,104459.352,6768673523.4144,1.5221,0.6035,0.3965,0.6473,572.803,884.872,0.0
2026-07-23 16:45:00,8.458e-05,104438.729,6759901812.752181,1.524,0.6038,0.3962,1.1522,425.121,368.963,0.0
2026-07-23 17:00:00,8.458e-05,104450.386,6761230161.359,1.5329,0.6052,0.3948,1.1336,489.736,432.031,0.0
2026-07-23 17:15:00,8.458e-05,104503.386,6766531541.4684,1.5387,0.6061,0.3939,1.1801,686.945,582.125,0.0
2026-07-23 17:30:00,8.458e-05,104711.371,6788500340.766304,1.5471,0.6074,0.3926,1.1514,378.088,328.383,0.0
2026-07-23 17:45:00,8.458e-05,104741.787,6788681811.7245,1.5497,0.6078,0.3922,0.5906,608.65,1030.649,0.0
2026-07-23 18:00:00,8.458e-05,104804.534,6776089654.126777,1.5439,0.6069,0.3931,1.3311,560.204,420.862,0.0
2026-07-23 18:15:00,8.458e-05,104758.149,6779303695.578041,1.5491,0.6077,0.3923,1.2968,397.343,306.407,0.0
2026-07-23 18:30:00,8.458e-05,104773.702,6788330062.0608,1.5517,0.6081,0.3919,1.0477,280.336,267.58,0.0
2026-07-23 18:45:00,8.458e-05,104772.677,6788375038.921951,1.5562,0.6088,0.3912,1.0997,563.51,512.399,0.0
2026-07-23 19:00:00,8.458e-05,104684.727,6788008942.0248,1.5667,0.6104,0.3896,0.8278,369.64,446.522,0.0
2026-07-23 19:15:00,8.458e-05,104699.247,6783150115.389,1.5667,0.6104,0.3896,1.0284,230.408,224.043,0.0
2026-07-23 19:30:00,8.458e-05,104778.361,6797129445.6115,1.5694,0.6108,0.3892,0.807,309.313,383.279,0.0
2026-07-23 19:45:00,8.458e-05,104734.355,6780024499.082894,1.5727,0.6113,0.3887,1.713,941.257,549.482,0.0
2026-07-23 20:00:00,8.458e-05,104790.988,6795113431.938465,1.5714,0.6111,0.3889,1.8195,1472.448,809.264,0.0
2026-07-23 20:15:00,8.458e-05,105078.806,6833115926.802911,1.574,0.6115,0.3885,1.8904,1312.461,694.27,0.0
2026-07-23 20:30:00,8.458e-05,104879.46,6831984367.698,1.5615,0.6096,0.3904,0.8961,313.943,350.356,0.0
2026-07-23 20:45:00,8.458e-05,104837.419,6824842590.7067,1.5549,0.6086,0.3914,1.4232,311.031,218.538,0.0
2026-07-23 21:00:00,8.458e-05,104703.011,6818019259.3947,1.5452,0.6071,0.3929,0.819,508.015,620.3,0.0
2026-07-23 21:15:00,8.458e-05,104522.577,6796246097.1786,1.5329,0.6052,0.3948,0.8869,230.701,260.127,0.0
2026-07-23 21:30:00,8.458e-05,104416.078,6796223243.2562,1.5329,0.6052,0.3948,0.6297,129.307,205.342,0.0
2026-07-23 21:45:00,8.458e-05,104403.65,6793598093.164351,1.5323,0.6051,0.3949,1.9642,335.908,171.014,0.0
2026-07-23 22:00:00,8.458e-05,104408.389,6801475786.765552,1.531,0.6049,0.3951,0.9215,306.531,332.643,0.0
2026-07-23 22:15:00,8.458e-05,104471.847,6797484276.642844,1.5329,0.6052,0.3948,0.7052,500.605,709.881,0.0
2026-07-23 22:30:00,8.458e-05,104667.927,6815060689.713344,1.5323,0.6051,0.3949,1.5154,358.442,236.534,0.0
2026-07-23 22:45:00,8.458e-05,104629.121,6818920462.5483,1.5342,0.6054,0.3946,1.1718,301.21,257.045,0.0
2026-07-23 23:00:00,8.458e-05,104623.676,6817100867.9108,1.5361,0.6057,0.3943,1.0523,353.805,336.208,0.0
2026-07-23 23:15:00,8.458e-05,104624.391,6817823082.609493,1.5368,0.6058,0.3942,0.9576,213.497,222.955,0.0
2026-07-23 23:30:00,8.458e-05,104627.375,6815835254.2625,1.5316,0.605,0.395,1.1939,233.901,195.909,0.0
2026-07-23 23:45:00,8.458e-05,104624.065,6815525470.085529,1.5297,0.6047,0.3953,0.6577,244.663,372.016,0.0
2026-07-24 00:00:00,7.598e-05,104584.915,6805304178.103276,1.5233,0.6037,0.3963,0.7279,788.827,1083.653,0.0
2026-07-24 00:15:00,7.598e-05,104521.488,6783883561.4496,1.5297,0.6047,0.3953,1.2061,398.026,330.012,0.0
2026-07-24 00:30:00,7.598e-05,104613.154,6784288572.6848,1.5336,0.6053,0.3947,0.6772,647.563,956.279,0.0
2026-07-24 00:45:00,7.598e-05,104624.469,6782534502.554994,1.5556,0.6087,0.3913,1.5082,376.292,249.491,0.0
2026-07-24 01:00:00,7.598e-05,104639.812,6796397645.3248,1.5556,0.6087,0.3913,1.6607,838.382,504.825,0.0
2026-07-24 01:15:00,7.598e-05,104639.581,6802795526.274047,1.5654,0.6102,0.3898,0.8109,254.841,314.257,0.0
2026-07-24 01:30:00,7.598e-05,104652.513,6803177308.3449,1.5674,0.6105,0.3895,1.136,377.498,332.306,0.0
2026-07-24 01:45:00,7.598e-05,104638.323,6808909852.1007,1.5714,0.6111,0.3889,0.6523,179.768,275.581,0.0
2026-07-24 02:00:00,7.598e-05,104734.582,6813636238.160524,1.5714,0.6111,0.3889,1.3844,291.707,210.716,0.0
2026-07-24 02:15:00,7.598e-05,104773.028,6825009339.6452,1.5608,0.6095,0.3905,1.0068,304.735,302.673,0.0
2026-07-24 02:30:00,7.598e-05,104831.43,6827104946.178,1.5595,0.6093,0.3907,0.9273,536.209,578.26,0.0
2026-07-24 02:45:00,7.598e-05,104802.161,6815260523.299934,1.5549,0.6086,0.3914,1.0067,504.712,501.359,0.0
2026-07-24 03:00:00,7.598e-05,104877.158,6826642993.1044,1.5504,0.6079,0.3921,1.4884,1341.621,901.37,0.0
2026-07-24 03:15:00,7.598e-05,104876.399,6847736670.4666,1.5681,0.6106,0.3894,1.2214,1126.437,922.226,0.0
2026-07-24 03:30:00,7.598e-05,104804.897,6843413917.9399,1.5394,0.6062,0.3938,1.1127,719.459,646.583,0.0
2026-07-24 03:45:00,7.598e-05,104900.614,6858960038.992292,1.5361,0.6057,0.3943,1.6929,916.939,541.653,0.0
2026-07-24 04:00:00,7.598e-05,104885.832,6862232184.54093,1.5202,0.6032,0.3968,0.6321,656.802,1039.105,0.0
2026-07-24 04:15:00,7.598e-05,105039.36,6865561640.448,1.5126,0.602,0.398,0.7763,346.382,446.17,0.0
2026-07-24 04:30:00,7.598e-05,105046.63,6868719063.115761,1.5056,0.6009,0.3991,0.5765,295.793,513.049,0.0
2026-07-24 04:45:00,7.598e-05,105034.771,6859857008.465078,1.5082,0.6013,0.3987,0.6565,243.353,370.693,0.0
2026-07-24 05:00:00,7.598e-05,104965.216,6850019499.6384,1.5069,0.6011,0.3989,1.0368,413.624,398.949,0.0
2026-07-24 05:15:00,7.598e-05,104900.266,6851988986.978743,1.5075,0.6012,0.3988,1.0749,161.601,150.338,0.0
2026-07-24 05:30:00,7.598e-05,104891.758,6849966745.3658,1.5082,0.6013,0.3987,0.4569,135.985,297.651,0.0
2026-07-24 05:45:00,7.598e-05,104906.142,6848440799.5872,1.5056,0.6009,0.3991,1.4287,148.605,104.011,0.0
2026-07-24 06:00:00,7.598e-05,104914.464,6849931931.989455,1.5044,0.6007,0.3993,1.8944,332.671,175.612,0.0
2026-07-24 06:15:00,7.598e-05,104906.689,6855935374.2103,1.5056,0.6009,0.3991,1.5015,1007.462,670.953,0.0
2026-07-24 06:30:00,7.598e-05,104804.289,6856956917.822848,1.5113,0.6018,0.3982,1.4777,538.97,364.732,0.0
2026-07-24 06:45:00,7.598e-05,104737.366,6852829698.8042,1.5132,0.6021,0.3979,1.3234,274.598,207.491,0.0
2026-07-24 07:00:00,7.598e-05,104694.563,6851379714.0208,1.5107,0.6017,0.3983,1.4186,2175.583,1533.629,0.0
2026-07-24 07:15:00,7.598e-05,104295.967,6856406440.9833,1.4759,0.5961,0.4039,0.8157,1295.479,1588.249,0.0
2026-07-24 07:30:00,7.598e-05,103956.278,6820980102.180632,1.4588,0.5933,0.4067,0.6727,1611.344,2395.388,0.0
2026-07-24 07:45:00,7.598e-05,103631.597,6772279386.951196,1.4759,0.5961,0.4039,1.7943,1160.06,646.526,0.0
2026-07-24 08:00:00,5.149e-05,103274.31,6761296783.683,1.4795,0.5967,0.4033,0.7081,465.663,657.628,0.0
2026-07-24 08:15:00,5.149e-05,103214.429,6751275764.654789,1.4722,0.5955,0.4045,0.6777,429.717,634.046,0.0
2026-07-24 08:30:00,5.149e-05,103262.594,6749563257.8814,1.4649,0.5943,0.4057,1.1962,348.196,291.089,0.0
2026-07-24 08:45:00,5.149e-05,103351.694,6760639020.037974,1.4661,0.5945,0.4055,0.727,349.42,480.641,0.0
2026-07-24 09:00:00,5.149e-05,103445.534,6752421542.565172,1.4752,0.596,0.404,0.5883,1143.522,1943.883,0.0
2026-07-24 09:15:00,5.149e-05,103411.666,6723340488.4898,1.4832,0.5973,0.4027,1.0474,1198.209,1143.94,0.0
2026-07-24 09:30:00,5.149e-05,103541.863,6724205312.7597,1.5195,0.6031,0.3969,1.6574,962.198,580.562,0.0
2026-07-24 09:45:00,5.149e-05,103768.686,6750180168.082791,1.5394,0.6062,0.3938,1.3581,397.506,292.7,0.0
2026-07-24 10:00:00,5.149e-05,103828.239,6757993185.6798,1.5426,0.6067,0.3933,0.9828,479.373,487.777,0.0
2026-07-24 10:15:00,5.149e-05,104032.536,6760137497.357348,1.5355,0.6056,0.3944,1.3883,518.796,373.685,0.0
2026-07-24 10:30:00,5.149e-05,104079.93,6763889886.650544,1.5374,0.6059,0.3941,1.2779,335.012,262.162,0.0
